-0.014461977759661362,-0.08793172492074108,-0.026147623745686785
-6.42865881379,-5.06758503609,5.54326372626
-8.90330631374,-7.10017872677,7.86457664799
-10.4929891685,-8.50480637252,9.15186523399
-11.5219806235,-9.44506941182,10.2542407565
-12.4921221788,-10.391193926,10.6972642548
-13.0587073717,-10.9296441153,11.5115090617
-13.5435393285,-11.3475780368,12.1944349149
-14.0908185977,-11.938051468,12.3726454617
-14.4179236638,-12.2324795143,12.8678129898
-14.7455116699,-12.5750422749,13.1643990413
-15.050820745,-12.8880973815,13.4203552368
-15.2289585531,-13.0445693681,13.8176330646
-15.4150245322,-13.2454153032,14.087371323
-15.6624327273,-13.4916075606,14.1745947899
-15.8996326054,-13.6761422121,14.2465849233
-16.076628163,-13.8254960248,14.3795582109
-16.1210292413,-13.843646286,14.754871926
-16.22499863,-13.8979244985,14.9913553373
-16.4853998913,-14.1659343645,14.7827695265
-16.6789489787,-14.4527560239,14.6174679356
-16.649394021,-14.3923531164,15.0137229448
-16.7726143082,-14.5174866527,15.0092075304
-16.9036859914,-14.6489236702,14.9799499241
-16.7828998681,-14.5407668709,15.4137407923
-16.8973443355,-14.6700848072,15.333912997
-17.0212309041,-14.7771132767,15.2694368912
-17.0309079422,-14.7991354484,15.3901875268
-17.2409381856,-15.0098166072,15.1353955963
-17.0984994696,-14.8708626136,15.5528923288
-17.265431035,-15.0435037942,15.344099448
-17.1767486571,-14.973575433,15.6316268688
-17.1273451711,-14.9327689479,15.7992723278
-17.1719765012,-14.9422844699,15.8356023862
-17.2904423459,-15.1046745484,15.6479192122
-17.2854329716,-15.0543051302,15.7804855687
-17.3599582305,-15.151276936,15.6550178436
-17.3106502962,-15.1232758045,15.8010340423
-17.3946644244,-15.2101237493,15.6855553977
-17.279683261,-15.0636775869,16.0139926814
-17.3545360378,-15.0999791295,15.9380757709
-17.580597551,-15.3120372191,15.5271375013
-17.4578337962,-15.1418284151,15.8989928046
-17.4704639418,-15.1618536173,15.8882642919
-17.5233546073,-15.2051936894,15.8114359811
-17.6796087174,-15.3856585851,15.5095946274
-17.7167844791,-15.3678167907,15.5595985501
-17.6408539224,-15.3050819153,15.7355356311
-17.5419522193,-15.2042839034,15.9744278508
-17.6736581388,-15.3781822689,15.6946342642
-17.5740756338,-15.2355292917,15.9421420926
-17.6223256318,-15.3359126882,15.7938647226
-17.5729554542,-15.2752336248,15.94499282
-17.6496963253,-15.3607142382,15.808162913
-17.5143125044,-15.2302473716,16.1023384433
-17.6822519619,-15.3858389064,15.7737366524
-17.6757857927,-15.3588840894,15.8203084516
-17.6247678929,-15.2821078101,15.965737391
-17.5820588426,-15.2848628606,16.0327715642
-17.5331357823,-15.221243032,16.181851402
-17.637333807,-15.3204360894,15.9854703821
